id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit
12557,1998-1999,Bihar,10,Purnia,214,Turmeric,504.0,Spices,Whole Year,142.0,Hectare,282.0,Tonnes,1.986,Tonnes/Hectare
12558,1998-1999,Bihar,10,Purnia,214,Urad,203.0,Pulses,Kharif,118.0,Hectare,89.0,Tonnes,0.754,Tonnes/Hectare
12559,1998-1999,Bihar,10,Purnia,214,Wheat,106.0,Cereals,Rabi,54728.0,Hectare,103573.0,Tonnes,1.893,Tonnes/Hectare
13658,1998-1999,Haryana,6,Gurugram,62,Arhar/Tur,202.0,Pulses,Kharif,1484.0,Hectare,700.0,Tonnes,0.472,Tonnes/Hectare
13659,1998-1999,Haryana,6,Gurugram,62,Bajra,103.0,Cereals,Kharif,55426.0,Hectare,59000.0,Tonnes,1.064,Tonnes/Hectare
13660,1998-1999,Haryana,6,Gurugram,62,Barley,107.0,Cereals,Rabi,3034.0,Hectare,7000.0,Tonnes,2.307,Tonnes/Hectare
13661,1998-1999,Haryana,6,Gurugram,62,Cotton(Lint),1101.0,Fiber Crops,Kharif,113.0,Hectare,,Tonnes,0.0,Tonnes/Hectare
13662,1998-1999,Haryana,6,Gurugram,62,Dry Chillies,502.0,Spices,Whole Year,60.0,Hectare,100.0,Tonnes,1.667,Tonnes/Hectare
13663,1998-1999,Haryana,6,Gurugram,62,Gram,201.0,Pulses,Rabi,6201.0,Hectare,6000.0,Tonnes,0.968,Tonnes/Hectare
13664,1998-1999,Haryana,6,Gurugram,62,Groundnut,1001.0,Oilseeds,Kharif,183.0,Hectare,,Tonnes,0.0,Tonnes/Hectare
13665,1998-1999,Haryana,6,Gurugram,62,Jowar,102.0,Cereals,Kharif,22002.0,Hectare,3000.0,Tonnes,0.136,Tonnes/Hectare
13666,1998-1999,Haryana,6,Gurugram,62,Maize,104.0,Cereals,Kharif,13.0,Hectare,,Tonnes,0.0,Tonnes/Hectare
13667,1998-1999,Haryana,6,Gurugram,62,Masoor,205.0,Pulses,Rabi,2317.0,Hectare,700.0,Tonnes,0.302,Tonnes/Hectare
13668,1998-1999,Haryana,6,Gurugram,62,Moong(Green Gram),204.0,Pulses,Kharif,67.0,Hectare,,Tonnes,0.0,Tonnes/Hectare
13669,1998-1999,Haryana,6,Gurugram,62,Onion,708.0,Vegetable,Whole Year,49.0,Hectare,600.0,Tonnes,12.245,Tonnes/Hectare
13670,1998-1999,Haryana,6,Gurugram,62,Peas & Beans (Pulses),213.0,Pulses,Rabi,212.0,Hectare,100.0,Tonnes,0.472,Tonnes/Hectare
13671,1998-1999,Haryana,6,Gurugram,62,Potato,701.0,Vegetable,Whole Year,40.0,Hectare,600.0,Tonnes,15.0,Tonnes/Hectare
13672,1998-1999,Haryana,6,Gurugram,62,Rapeseed &Mustard,1004.0,Oilseeds,Rabi,37414.0,Hectare,47000.0,Tonnes,1.256,Tonnes/Hectare
13673,1998-1999,Haryana,6,Gurugram,62,Rice,101.0,Cereals,Kharif,10884.0,Hectare,25000.0,Tonnes,2.297,Tonnes/Hectare
13674,1998-1999,Haryana,6,Gurugram,62,Sesamum,1003.0,Oilseeds,Kharif,852.0,Hectare,200.0,Tonnes,0.235,Tonnes/Hectare
13675,1998-1999,Haryana,6,Gurugram,62,Sugarcane,401.0,Sugar,Whole Year,306.0,Hectare,50000.0,Tonnes,163.399,Tonnes/Hectare
13676,1998-1999,Haryana,6,Gurugram,62,Wheat,106.0,Cereals,Rabi,128935.0,Hectare,414000.0,Tonnes,3.211,Tonnes/Hectare
23298,1998-1999,Uttar Pradesh,9,Varanasi,187,Arhar/Tur,202.0,Pulses,Kharif,5743.0,Hectare,6769.0,Tonnes,1.179,Tonnes/Hectare
23299,1998-1999,Uttar Pradesh,9,Varanasi,187,Bajra,103.0,Cereals,Kharif,5248.0,Hectare,6740.0,Tonnes,1.284,Tonnes/Hectare
23300,1998-1999,Uttar Pradesh,9,Varanasi,187,Barley,107.0,Cereals,Rabi,37.0,Hectare,46.0,Tonnes,1.243,Tonnes/Hectare
23301,1998-1999,Uttar Pradesh,9,Varanasi,187,Gram,201.0,Pulses,Rabi,2780.0,Hectare,2343.0,Tonnes,0.843,Tonnes/Hectare
23302,1998-1999,Uttar Pradesh,9,Varanasi,187,Jowar,102.0,Cereals,Kharif,2874.0,Hectare,1974.0,Tonnes,0.687,Tonnes/Hectare
23303,1998-1999,Uttar Pradesh,9,Varanasi,187,Maize,104.0,Cereals,Kharif,5912.0,Hectare,3390.0,Tonnes,0.573,Tonnes/Hectare
23304,1998-1999,Uttar Pradesh,9,Varanasi,187,Maize,104.0,Cereals,Summer,9.0,Hectare,9.0,Tonnes,1.0,Tonnes/Hectare
23305,1998-1999,Uttar Pradesh,9,Varanasi,187,Maize,104.0,Cereals,Total,5921.0,Hectare,3399.0,Tonnes,0.574,Tonnes/Hectare
23306,1998-1999,Uttar Pradesh,9,Varanasi,187,Masoor,205.0,Pulses,Rabi,207.0,Hectare,170.0,Tonnes,0.821,Tonnes/Hectare
23307,1998-1999,Uttar Pradesh,9,Varanasi,187,Moong(Green Gram),204.0,Pulses,Kharif,502.0,Hectare,170.0,Tonnes,0.339,Tonnes/Hectare
23308,1998-1999,Uttar Pradesh,9,Varanasi,187,Moong(Green Gram),204.0,Pulses,Summer,10.0,Hectare,4.0,Tonnes,0.4,Tonnes/Hectare
23309,1998-1999,Uttar Pradesh,9,Varanasi,187,Moong(Green Gram),204.0,Pulses,Total,512.0,Hectare,174.0,Tonnes,0.34,Tonnes/Hectare
23310,1998-1999,Uttar Pradesh,9,Varanasi,187,Onion,708.0,Vegetable,Whole Year,410.0,Hectare,4853.0,Tonnes,11.837,Tonnes/Hectare
23311,1998-1999,Uttar Pradesh,9,Varanasi,187,Peas & Beans (Pulses),213.0,Pulses,Rabi,1989.0,Hectare,2082.0,Tonnes,1.047,Tonnes/Hectare
23312,1998-1999,Uttar Pradesh,9,Varanasi,187,Potato,701.0,Vegetable,Whole Year,4713.0,Hectare,107529.0,Tonnes,22.815,Tonnes/Hectare
23313,1998-1999,Uttar Pradesh,9,Varanasi,187,Rapeseed &Mustard,1004.0,Oilseeds,Rabi,642.0,Hectare,305.0,Tonnes,0.475,Tonnes/Hectare
23314,1998-1999,Uttar Pradesh,9,Varanasi,187,Rice,101.0,Cereals,Kharif,49869.0,Hectare,121321.0,Tonnes,2.433,Tonnes/Hectare
23315,1998-1999,Uttar Pradesh,9,Varanasi,187,Sannhamp,1104.0,Fiber Crops,Whole Year,2122.0,Hectare,772.0,Tonnes,0.364,Tonnes/Hectare
23316,1998-1999,Uttar Pradesh,9,Varanasi,187,Sesamum,1003.0,Oilseeds,Kharif,27.0,Hectare,3.0,Tonnes,0.111,Tonnes/Hectare
23317,1998-1999,Uttar Pradesh,9,Varanasi,187,Sugarcane,401.0,Sugar,Whole Year,8629.0,Hectare,383438.0,Tonnes,44.436,Tonnes/Hectare
23318,1998-1999,Uttar Pradesh,9,Varanasi,187,Urad,203.0,Pulses,Kharif,2276.0,Hectare,1059.0,Tonnes,0.465,Tonnes/Hectare
23319,1998-1999,Uttar Pradesh,9,Varanasi,187,Wheat,106.0,Cereals,Rabi,68591.0,Hectare,154746.0,Tonnes,2.256,Tonnes/Hectare
26188,1999-2000,Bihar,10,Purnia,214,Arhar/Tur,202.0,Pulses,Kharif,200.0,Hectare,168.0,Tonnes,0.84,Tonnes/Hectare
26189,1999-2000,Bihar,10,Purnia,214,Banana,606.0,Fruits,Whole Year,1495.0,Hectare,10181.0,Tonnes,6.81,Tonnes/Hectare
26190,1999-2000,Bihar,10,Purnia,214,Coriander,509.0,Spices,Whole Year,64.0,Hectare,33.0,Tonnes,0.516,Tonnes/Hectare
26191,1999-2000,Bihar,10,Purnia,214,Dry Chillies,502.0,Spices,Whole Year,398.0,Hectare,378.0,Tonnes,0.95,Tonnes/Hectare
26192,1999-2000,Bihar,10,Purnia,214,Garlic,508.0,Spices,Whole Year,200.0,Hectare,284.0,Tonnes,1.42,Tonnes/Hectare
26193,1999-2000,Bihar,10,Purnia,214,Ginger,503.0,Spices,Kharif,16.0,Hectare,23.0,Tonnes,1.438,Tonnes/Hectare
26194,1999-2000,Bihar,10,Purnia,214,Gram,201.0,Pulses,Rabi,83.0,Hectare,62.0,Tonnes,0.747,Tonnes/Hectare
26195,1999-2000,Bihar,10,Purnia,214,Horse-Gram,206.0,Pulses,Kharif,1330.0,Hectare,1184.0,Tonnes,0.89,Tonnes/Hectare
26196,1999-2000,Bihar,10,Purnia,214,Jowar,102.0,Cereals,Kharif,43.0,Hectare,52.0,Tonnes,1.209,Tonnes/Hectare
